20,Wonders of Borneo,"Bored of simply watching wildlife on your TV? Why not take a trip to Borneo to get up close and personal with the animals yourself? This trip is the perfect introduction to Borneo for those who have never been, and even those who have experienced Borneo before will surely spot some new sights. You'll go from exploring rainforest environments and soaking in hot springs to the rush of vibrant Kota Kinabalu, staying in comfortable accommodations along the way. There's a ton to see and do on this trip, and you can look forward to finishing off your adventure with some much deserved relaxation on a tropical beach...perfection.",12,https://gadventures.b.ssl.fastly.net/media-server/dynamic/admin/maps/2014/AABE.jpg,https://gadventures.b.ssl.fastly.net/media-server/dynamic/admin/trip-banners/asia/malaysia/AAMBD/AAMBD-Malaysia-Borneo-Jungle-Orangutan-IS-13959474-Or-RGB.jpg,1,2014-07-05 18:08:19 UTC,2014-07-05 18:08:19 UTC
21,Borneo Family Adventure,"Borneo is one of the few places left on this planet that feels untouched by time. Spend a little of yours here with the kids. Perfect for families eager to get deep into the thick of things, this exciting journey takes you deep into the jungles to meet the locals (and stay in one of their traditional longhouses to boot) and encounter wildlife you’d otherwise only see on TV. The biggest highlight: Catching up with your primate relatives at the Sepilok Orangutan Rehabilitation Centre. It’s just 11 days, but it feels like a lifetime.",11,https://gadventures.b.ssl.fastly.net/media-server/dynamic/admin/maps/2013/AABF.png,https://gadventures.b.ssl.fastly.net/media-server/dynamic/admin/trip-banners/asia/borneo/AAFA/AAFA_banner_borneo_orangutan.jpg,1,2014-07-05 18:08:20 UTC,2014-07-05 18:08:20 UTC
22,Best of Borneo,"Still wild and mysterious even after all these years, Borneo is one of those places that’s become synonymous with adventure travel. Come see what all the fuss is about on this 14-day journey through the Malaysian states of Sarawak and Sabah. There, you’ll encounter wild orangutans, proboscis monkeys, sun bears and other creatures of the rainforest, visit hot springs and waterfalls, and get a better understanding of the local Dayak people by spending the night in a traditional longhouse. Adventure never goes out of style; it just becomes more classic.",14,https://gadventures.b.ssl.fastly.net/media-server/dynamic/admin/maps/2014/AAHB_1.png,https://gadventures.b.ssl.fastly.net/media-server/dynamic/admin/trip-banners/asia/borneo/AAKK/AAKK.jpg,1,2014-07-05 18:08:20 UTC,2014-07-05 18:08:20 UTC
23,Borneo Encompassed,"Mountains, dense jungle, sandy beaches, mysterious caves and exotic wildlife await you on this spectacular journey to Sabah and Sarawak. Take the road less travelled and explore the immense beauty of Borneo as you trek deep into this remote land still quite untouched by tourism. Meet locals from remote villages and stay overnight in longhouses for an immersive cultural experience that few travellers get to know. Our certified CEOs will lead the way and share with you the hidden gems will have your camera’s shutter working overtime. This is a once-in-a-lifetime experience from start to finish.",19,https://gadventures.b.ssl.fastly.net/media-server/dynamic/admin/maps/2012/AAKK.png,https://gadventures.b.ssl.fastly.net/media-server/dynamic/admin/trip-banners/asia/borneo/AAKK/AAKK.jpg,2,2014-07-05 18:08:21 UTC,2014-07-05 18:08:21 UTC
24,Borneo—Sarawak Discovery,"From rainforest canopies to jungle wildlife, discover the diverse ecosystem of Malaysia's largest state. This compact tour will provide nature lovers and photographers of all levels with a magnificent introduction to Sarawak’s wilderness. Explore caves and hike mountain trails, sail past communities and overnight in a longhouse. With authentic local transportation and accommodation, our CEOs will provide a window to the unique peoples and customs of this beautiful country.",10,https://gadventures.b.ssl.fastly.net/media-server/dynamic/admin/maps/2012/AAKS.png,https://gadventures.b.ssl.fastly.net/media-server/dynamic/admin/trip-banners/asia/borneo/AAKS/AAKS.jpg,2,2014-07-05 18:08:21 UTC,2014-07-05 18:08:21 UTC
25,Malaysia and Borneo Adventure,"From the big-city bustle of Kuala Lumpur to the serene tranquility of Borneo’s rainforest, Malaysia is the definition of contrast. Meet the 'old man of the forest'—the orangutan—while exploring the rainforest and get to know the delights of modern-day Kuala Lumpur and Singapore on this 12-day adventure. You’ll explore Melaka’s historic canal-side lanes by bicycle and the lush rainforest along the Kinabatangan River and in the Danum Valley by boat and on foot. Along the way, you’ll come away with a real connection to this enthralling land. ",12,https://gadventures.b.ssl.fastly.net/media-server/dynamic/admin/maps/2013/AAMBD.png,https://gadventures.b.ssl.fastly.net/media-server/dynamic/admin/trip-banners/asia/malaysia/AAMBD/AAMBD-Malaysia-Borneo-Jungle-Orangutan-IS-13959474-Or-RGB.jpg,3,2014-07-05 18:08:22 UTC,2014-07-05 18:08:22 UTC
26,Borneo—Sabah Adventure,"Hike rainforest trails and summit Mt Kinabalu to watch the sunrise. Revive your sense of adventure on this jam-packed tour. Our CEOs will provide nature lovers and photographers of all levels with an introduction to the highlights of remote Sabah, helping you frame great snapshots of tropical birds and giant flowers. Visit the Sepilok Orangutan Rehabilitation Centre and meet these special creatures. And after all the excitement and exercise, there's still the chance to see baby turtles in their natural habitat. Get off the beaten track and discover the best of Sabah.",10,https://gadventures.b.ssl.fastly.net/media-server/dynamic/admin/maps/2012/AASA.jpg,https://gadventures.b.ssl.fastly.net/media-server/dynamic/admin/trip-banners/asia/borneo/AASA/AASA_banner_borneo_enyah_tribe_girl_with_hat.jpg,1,2014-07-05 18:08:22 UTC,2014-07-05 18:08:22 UTC
27,Burma Adventure,"After decades of controversy, friendly Burma (also known as Myanmar) is opening up to travellers, which means the adventurous can experience a curious nation unbiased by hordes of tourists. This 12-day adventure offers comfort level hotels and travel between sights by plane, boat and private buses or vans. Discover floating gardens of Inle Lake, incredible ruins of ancient Bagan, ancient capitals around Mandalay and the refreshing hill station of Kalaw. Not all of Asia follows the same beat, join in Burma's unique rhythm. ",12,https://gadventures.b.ssl.fastly.net/media-server/dynamic/admin/maps/2013/ABBA.png,https://gadventures.b.ssl.fastly.net/media-server/dynamic/admin/trip-banners/asia/burma-myanmar/ABCB/ABCB.jpg,4,2014-07-05 18:08:23 UTC,2014-07-05 18:08:23 UTC
28,Cycle Burma,"You might not immediately associate Burma with cycling, but we think you’ll change your mind once you’ve taken this two-wheeled trek through ancient cities and beautiful gardens. Once you get off the bike, you’ll have the chance to hike through limestone caves and make a pilgrimage to Mt Popa. Don’t miss this once-in-a-lifetime experience to get active in a place that’s the furthest thing from your backyard.",14,https://gadventures.b.ssl.fastly.net/media-server/dynamic/admin/maps/2014/ABCA.png,https://gadventures.b.ssl.fastly.net/media-server/dynamic/admin/trip-banners/asia/burma-myanmar/ABCB/ABCB.jpg,4,2014-07-05 18:08:23 UTC,2014-07-05 18:08:23 UTC
29,Classic Burma Adventure,"As a relative newcomer to adventure travel, exploring the enigmatic and mysterious nation of Burma often feels like setting foot on a foreign, untouched planet. With few other travellers to contend with, the natural and man-made wonders of this underexplored part of South East Asia often feel like they’ve been placed here just for you. And oh, what wonders they are: Inle Lake’s unique ‘floating gardens,’ the staggering imperial ruins of ancient Bagan, the incomparable palaces of Mandalay and enveloping forests throughout. Unknown pleasures await. Come find them.",14,https://gadventures.b.ssl.fastly.net/media-server/dynamic/admin/maps/2012/ABCB.jpg,https://gadventures.b.ssl.fastly.net/media-server/dynamic/admin/trip-banners/asia/burma-myanmar/ABCB/ABCB.jpg,4,2014-07-05 18:08:23 UTC,2014-07-05 18:08:23 UTC
